code,obj,date
600186.SH,454355289,2019-02-01 04:35:58
600188.SH,454293788,2019-01-31 13:08:51
600196.SH,453975486,2019-01-28 13:05:31
600196.SH,454349478,2019-02-01 01:02:20
600198.SH,454315417,2019-01-31 17:26:40
600203.SH,454350806,2019-01-31 14:51:00
600208.SH,454364052,2019-02-01 07:52:49
600208.SH,454360162,2019-02-01 06:54:37
600223.SH,454270628,2019-01-31 09:08:33
600239.SH,454161235,2019-01-30 09:05:48
600247.SH,454211469,2019-01-30 17:44:06
600256.SH,454228372,2019-01-30 20:33:12
600266.SH,454270628,2019-01-31 09:08:33
600267.SH,453975486,2019-01-28 13:05:31
600267.SH,453954720,2019-01-28 09:06:18
600271.SH,454050113,2019-01-29 08:25:41
600276.SH,453975486,2019-01-28 13:05:31
600276.SH,454356918,2019-02-01 05:26:33
600276.SH,454054582,2019-01-29 09:09:18
600276.SH,454365808,2019-02-01 08:10:23
600280.SH,453968118,2019-01-28 11:11:18
600284.SH,453954720,2019-01-28 09:06:18
600295.SH,454293788,2019-01-31 13:08:51
600297.SH,454324570,2019-01-31 19:05:34
600297.SH,454349002,2019-02-01 00:41:09
600300.SH,454054582,2019-01-29 09:09:18
600309.SH,454348406,2019-02-01 00:31:29
600309.SH,454270628,2019-01-31 09:08:33
600312.SH,454050387,2019-01-29 08:28:57
600312.SH,453989281,2019-01-26 15:48:00
600340.SH,454337522,2019-01-31 21:44:34
600340.SH,454340033,2019-01-31 22:16:12
600340.SH,454348436,2019-01-31 23:21:01
600346.SH,454349841,2019-02-01 01:06:31
600348.SH,454225714,2019-01-30 20:11:36
600359.SH,454347534,2019-02-01 00:13:34
600372.SH,454162687,2019-01-30 09:16:48
600382.SH,454054582,2019-01-29 09:09:18
600383.SH,454270628,2019-01-31 09:08:33
600398.SH,454329935,2019-01-31 20:05:31
600406.SH,453989281,2019-01-26 15:48:00
600406.SH,454050387,2019-01-29 08:28:57
600406.SH,454050132,2019-01-29 08:25:56
600406.SH,454359893,2019-02-01 06:45:46
600406.SH,454267640,2019-01-31 08:42:48
600446.SH,454270628,2019-01-31 09:08:33
600449.SH,454270628,2019-01-31 09:08:33
600460.SH,454161235,2019-01-30 09:05:48
600487.SH,454270628,2019-01-31 09:08:33
600501.SH,454355628,2019-02-01 04:53:22
600502.SH,453954720,2019-01-28 09:06:18
600519.SH,454356918,2019-02-01 05:26:33
600519.SH,454339267,2019-01-31 22:06:27
600547.SH,454359903,2019-02-01 06:46:04
600551.SH,454161235,2019-01-30 09:05:48
600570.SH,454267640,2019-01-31 08:42:48
600570.SH,454050113,2019-01-29 08:25:41
600570.SH,454270628,2019-01-31 09:08:33
600583.SH,454330753,2019-01-31 20:14:35
600585.SH,454348406,2019-02-01 00:31:29
600585.SH,454084649,2019-01-29 14:46:26
600588.SH,454267640,2019-01-31 08:42:48
600588.SH,454050113,2019-01-29 08:25:41
600592.SH,454054582,2019-01-29 09:09:18
600604.SH,454054582,2019-01-29 09:09:18
600616.SH,454364596,2019-02-01 08:01:43
600642.SH,454050387,2019-01-29 08:28:57
600651.SH,454350806,2019-01-31 14:51:00
600651.SH,454349616,2019-02-01 01:03:53
600652.SH,454316696,2019-01-31 18:04:49
600655.SH,453954720,2019-01-28 09:06:18
600660.SH,454049469,2019-01-29 08:19:10
600667.SH,454270628,2019-01-31 09:08:33
600677.SH,453954720,2019-01-28 09:06:18
600686.SH,454054582,2019-01-29 09:09:18
600690.SH,454300793,2019-01-31 14:51:47
600690.SH,454356918,2019-02-01 05:26:33
600705.SH,454162687,2019-01-30 09:16:48
600708.SH,454352032,2019-02-01 02:31:04
600715.SH,454360451,2019-02-01 07:02:07
600739.SH,454051542,2019-01-29 08:37:47
600741.SH,454049469,2019-01-29 08:19:10
600787.SH,454347490,2019-02-01 00:13:25
600795.SH,454161304,2019-01-30 09:05:27
600807.SH,454316696,2019-01-31 18:04:49
600809.SH,454361629,2019-02-01 07:15:54
600823.SH,454161235,2019-01-30 09:05:48
600837.SH,454363814,2019-02-01 07:47:43
600886.SH,454359919,2019-02-01 06:46:57
600892.SH,454308928,2019-01-31 16:18:57
600892.SH,454316696,2019-01-31 18:04:49
600926.SH,454270217,2019-01-31 08:02:00
600958.SH,454359068,2019-02-01 06:22:11
600976.SH,453954720,2019-01-28 09:06:18
600977.SH,454330753,2019-01-31 20:14:35
600997.SH,454225714,2019-01-30 20:11:36
601006.SH,454364052,2019-02-01 07:52:49
601009.SH,454147929,2019-01-30 02:08:00
601012.SH,454309604,2019-01-31 00:00:00
601101.SH,454161235,2019-01-30 09:05:48
601111.SH,454361463,2019-02-01 07:13:50
601138.SH,454323303,2019-01-31 18:41:38
601155.SH,454348406,2019-02-01 00:31:29
601155.SH,454349437,2019-01-31 23:44:00
601155.SH,453968118,2019-01-28 11:11:18
601166.SH,454147929,2019-01-30 02:08:00
601179.SH,454267640,2019-01-31 08:42:48
601179.SH,453989281,2019-01-26 15:48:00
601179.SH,454050387,2019-01-29 08:28:57
601218.SH,454054582,2019-01-29 09:09:18
601225.SH,454348406,2019-02-01 00:31:29
601229.SH,454184583,2019-01-30 12:33:44
601231.SH,454330753,2019-01-31 20:14:35
601238.SH,454042955,2019-01-29 07:02:16
601238.SH,454360899,2019-02-01 07:06:59
601238.SH,454360852,2019-02-01 07:06:37
601258.SH,454365320,2019-02-01 08:05:45
601258.SH,454361306,2019-02-01 07:12:51
601258.SH,454349002,2019-02-01 00:41:09
601258.SH,454316696,2019-01-31 18:04:49
601288.SH,454147929,2019-01-30 02:08:00
601318.SH,454337522,2019-01-31 21:44:34
601318.SH,454359463,2019-02-01 06:36:31
601318.SH,454184311,2019-01-30 12:28:52
601333.SH,454361580,2019-02-01 07:14:58
601336.SH,454363573,2019-02-01 07:43:53
601336.SH,454356918,2019-02-01 05:26:33
601336.SH,454360192,2019-02-01 06:54:51
601515.SH,454161235,2019-01-30 09:05:48
601577.SH,454270217,2019-01-31 08:02:00
601577.SH,454147929,2019-01-30 02:08:00
601577.SH,454219569,2019-01-30 19:04:38
601601.SH,454359900,2019-02-01 06:45:58
601601.SH,454215733,2019-01-30 18:21:28
601601.SH,454356918,2019-02-01 05:26:33
601601.SH,454360192,2019-02-01 06:54:51
601608.SH,454276543,2019-01-31 09:58:45
601628.SH,454164794,2019-01-30 09:37:15
601628.SH,454235148,2019-01-30 21:44:30
601633.SH,454217893,2019-01-30 18:44:01
601689.SH,454049469,2019-01-29 08:19:10
601727.SH,454050387,2019-01-29 08:28:57
601798.SH,454316696,2019-01-31 18:04:49
601808.SH,454330753,2019-01-31 20:14:35
601808.SH,454309030,2019-01-30 16:21:04
601818.SH,454296465,2019-01-31 14:01:07
